idproperty|province|municipality|surface|rooms|baths|property_type|property_subtype|transacion_type|price|description
dhxhbeglnw|Barcelona|Sentmenat|199|3|2|Vivienda|Casa adosada|Sell|233000.0|OPORTUNIDAD!! Casa en venta en Sentmenat, zona Can Palau, superficie 43 m2 x 3 plantas, 4 planta buhardilla 15 m2, planta baja: garaje para 2 coches, patio 50 m2 1ª planta: salón comedor 24 m2 dos ambientes, cocina completa grande con vitrocerámica, horno, pica 2 senos, campana mural y mármol, aseo 2 piezas, balcones de 2 m2 y 5 m2, 2ª planta: 3 habitaciones, matrimonio con armario empotrado, 1 lavabo completo con bañera y mampara, 3ª planta: buhardilla 15 m2 , falsos techos, calefacción gas-oil, aire acondicionado, suelos en gres, parket en buhardilla, carpintería int. Sapelhy, carpinteria ext. Aluminio,mosquiteras en todas las ventanas y videoportero. En la mejor zona del pueblo. Cerca del centro y del transporte público. Barrio tranquilo rodeado de parques infantiles, al lado de la piscina municipal y campo de fútbol. Colegio público en la misma calle. Precio negociable.
wrvgmzcvuc|Barcelona|Castellgalí|60|2|1|Vivienda|Piso|Sell|75000.0|Se vende piso, 2 habitaciones, baño completo, cocina con lavadero,comedo, balcón y trastero. Piso muy soleado.
metfhbcegq|Lleida|Esterri d'Àneu|88|2|1|Vivienda|Apartamento|Sell|152000.0|Baqueira Beret a 10 minutos y a15 del Parque Nacional de Aigües Tortes. Un lujo a su alcance. Precioso apartamento en planta baja con terrazajardín. Totalmente amueblado al detalle. incluye todos los Electrodomésticos y muebles de terraza. Impecable. Con plaza de parking y trastero privado.quot;
metfhbcegq|Lleida|Esterri d'Àneu|88|2|1|Vivienda|Apartamento|Sell|152000.0|Magnifica vivienda en el centro de Esterri, a 20 minutos de Baqueira Beret y a15 del Parque Nacional de Aigües Tortes. Precioso apartamento en planta baja con terraza-jardín. Totalmente amueblado y decorado al detalle,  suelo de madera nuevo.  Con Electrodomésticos y muebles de terraza. calefacción de Gasnatural. Impecable. Plaza de parking y trastero.
ywdsbulfoe|Girona|Riells i Viabrea|137|3|2|Vivienda|Casa-Chalet|Sell|210000.0|Casa Unifamiliar sito en Riells Viabrea de 137m² construidos, 96m² útiles en zona Urbanización Ordenació Riells. Dispone de 3 hab. dobles de las cuales 1 en suitte + baño completo con plato de ducha. Calefacción gas-oil, AA, bomba de calor. Cocina totalmente equipada con lavadora, horno microondas, campana extractora, frigorífico y vitro. Salón de 20m² con chimenea tipo calefacción salida directa a terraza de 20m², garaje de 41m². Parcela de 848m², todo ajardinado vallado, riego por aspiración y goteo a todos los arboles. Orientada a sur con vistas al Montseny y Montnegre, Parques naturales y protegidos.
jvlzvpsbld|Barcelona|Cabrils|400|6|3|Vivienda|Casa-Chalet|Sell|880000.0|Preciosa casa a 4 vents ubicada en zona immillorable de Cabrils. Consta de 400m2 i jardí de m2 amb piscina privada. Idíl·liques vistes tant a mar a muntanya. Disposa de 6 habitacions, 3 banys complets, 1 lavabo, gran saló-menjador de 50m2 amb llar de foc. Garatge per a 2 cotxes i sala polivalent.Disposa de calefacció, aire condicionat, fusteria en alumini i de doble vidre. Terres de gres i parquet.I vàries terrasses tipus solàrium.
mgklhpskrs|Barcelona|Terrassa|80|3|2|Vivienda|Piso|Sell|180000.0|Piso alquilado actualmente, ideal para inversores.Piso duplex de 3 habitaciones (2 dobles), 2 lavabos y terraza. Agua osmosis. A cinco minutos de la estación Terrassa Este, zona con todos los servicios, colegios, guardería, cap, farmacia, supermercados, centro comercial.
mgklhpskrs|Barcelona|Terrassa|80|3|2|Vivienda|Piso|Rent|600.0|Piso alquilado actualmente, ideal para inversores.Piso duplex de 3 habitaciones (2 dobles), 2 lavabos y terraza. Agua osmosis. A cinco minutos de la estación Terrassa Este, zona con todos los servicios, colegios, guardería, cap, farmacia, supermercados, centro comercial.
jpgzuvsewl|Girona|Maçanet de la Selva|200|4|2|Vivienda|Casa-Chalet|Sell|389000.0|Gran casa con fantastico jardinUrbanización Mas Altabafinca muy plana, con una bonita casa, muy cerca de blanes y lloret de Mar 15 minutos, cerca de la autopista y nacional, urbanización tranquila con todos los servicios. es ideal para vivir o segunda vivienda. playa a pocos kilometros. garaje.Todo amueblado. 3 terrazas. un sotano Bodega de 50 m2, un almacen independiente, piscina. iluminación jardín. muy bien conservada, preciosa fachada con acceso peatonal y acceso coche
rkvrknwumj|Tarragona|Vandellòs i l'Hospitalet de l'Infant|300|5|2|Vivienda|Casa-Chalet|Sell|850000.0|C La Sentiu 20. 3 plantas. 300 m² construidos, 280 m² útiles. 5 habitaciones. 2 wc. Parcela de 500 m² Terraza. Garaje subterraneo con espacio para 3 coches. Armarios empotrados. Trastero. Piscina con cubierta retractible y extraíble con chorro de masaje. Aire acondicionado. Bodega. Playa a unos 50 metros. Amueblado. Trastero. Terraza. Porche Cubierto.
pqmslxojww|Barcelona|Sant Cebrià de Vallalta|250|4|2|Vivienda|Casa-Chalet|Sell|375000.0|Casa ubicada en Sant cebrià de Vallalta, construida en el . La vivienda tiene una superficie total de 250 metros cuadrados sobre un terreno de 525 metros cuadrados.  El interior se distribuye en salón comedor con chimenea y salida exterior a la terraza y al jardín. En la misma planta se encuentra la cocina tipo office. Dispone de 4 habitaciones, una de ellas con vestidor, dos baños completos, uno con ducha de hidromasaje y el otro con bañera.  Suelos de parquet, calefacción radial en la planta baja, puerta de seguridad blindad y alarma, cierres de aluminio y persianas eléctricas. Además, incorpora placas solares. Dispone de trastero, garaje de 28 metros cuadrados y dos terrazas, una de ellas de 90 metros cuadrados.  En el jardín se encuentra una amplia piscina privada. La casa tiene una orientación al sur y goza de vistas a la montaña.
urpuzyvotn|Barcelona|L'Esquirol|408|4|2|Vivienda|Finca rústica|Sell|250000.0|Casa rustica en venda en Santa Maria de Corcó. Casa rústica de poble al centre de l´Esquirol amb molt d´encant, tota de pedra i amb fusteria de melis. Superficie construida de 408 m2, més solar de 550 m2. Consta a la planta baixa de hall, ampli menjador sala d´estar, gran sala amb sortida al pati de 120 m2, 1 lavabo i safareig. A la primera planta cuina office amb llar de foc, ampli menjador sala d´estar, dos dormitoris dobles i dos banys. A la planta estudi gran sala, 2 habitacions dobles i estudi.
ezuggayffd|Lleida| Lleida Capital|75|2|2|Vivienda|Piso|Sell|120000.0|PISO SEMINUEVO UBICADO EN EL EDIFICIO CLUB MARAGALL DE LLEIDA.LA VIVIENDA CONSTA DE UN AMPLIO SALON COMEDOR, ACOGEDOR Y MUY LUMINOSO, CON SALIDA A BALCON, COCINA TOTALMENTE EQUIPADA Y EXTERIOR, DOS DORMITORIOS Y DOS BAÑOS COMPLETOS (UNO DE ELLOS EN SUITE), Y UNA HABITACIÓN PEQUEÑA DESTINADA AL USO DE LAVANDERÍA.INCLUIDO EN EL PRECIO PLAZA DE PARKING EN EL MISMO EDIFICIO.
iytcpvwymz|Tarragona|Calafell|80|4|1|Vivienda|Apartamento|Sell|115000.0|Planta baja en Segur de Calafell, con 4 habitaciones dos de la cuales dobles, recibidor, salón comedor de 20 m2, terraza de 8 m2, cocina y baño en buen estado, caldera de gas, lavadero y trastero, zona comunitaria con jardín, ventanas de aluminio, amueblado.
yobwqfipsz|Tarragona|La Bisbal del Penedès|185|4|2|Vivienda|Casa adosada|Sell|180000.0|Casa adosada en el centro del pueblo con 185 mts. de vivienda en dos plantas más garaje. Planta baja compuesta de garaje de 95 mts. y con jardín de 92 mts. completamente ajardinado y con barbacoa. 1ª planta consta de gran salón comedor con acceso a terraza, cocina equipada tipo office, aseo con plato de ducha, 2ª planta compuesta de 4 dormitorios (3 dobles) y baño completo con bañera.
dvysjdkoai|Girona|Banyoles|150|4|1|Vivienda|Piso|Sell|220000.0|Vendo piso en el centro de Banyoles, pç dels Turers. En edificio de dos plantas, se vende primera planta, vivienda de 150 m2, todo exterior, muy luminoso (la segunda planta está des-ocupada en estos momentos). Buen estado. Calefaccion, gas natural. Salon 30 m2, comedor 18 m2, 4 dormitorios: 12 m2, 12 m2, 22 m2, 22 m2, cocina 12 m2, baño 8 m2, despensa 3 m2, trastero 20 m2. Terraza con mas de 150 m2, con unos 50 m2 cubiertos. Cinco balcones con doble cristal aislante. Orientación este-sur.
orubyjswsk|Tarragona|Salou|63|2|1|Vivienda|Apartamento|Sell|112000.0|.Edificio Alaska Calle Valls 12 Bloque A 2º 3ª .  180m de playa Capellans.2 habitaciones ,cocina americana,frontal salon pladur, calentador y cocina gas butano.Bomba calor salon, habitaciones con radiador electrico.Baño completo, 1 armario  empotrado, 2 grandes exteriores.Terraza  -18 m2, interior  -57m2Jardines comunitarios.Lavadora, nevera y congelador.Se vende también  con todos los muebles.no cuadros..
obfmsoquno|Tarragona|Reus|72|3|1|Vivienda|Piso|Sell|108000.0|OBRA NUEVA CON PISOS DE 3 DORMITORIOS .
obfmsoquno|Tarragona|Reus|72|3|1|Vivienda|Piso|Rent|500.0|OBRA NUEVA CON PISOS DE 3 DORMITORIOS .
yvnqbxibde|Barcelona|Lliçà d'Amunt|330|4|3|Vivienda|Casa-Chalet|Sell|400000.0|Casa a estrenar, consta de comedor de 41 m, cocina de 18 m, 3 baños completos, 4 habitaciones, garaje para 4 coches, sala de calderas,etc.EXCELENTE SITUACION EN ZONA RESIDENCIAL, CERCA DE COLEGIOS, SUPERMERCADO, FARMACIA, C.A.P., BUS,,TODOS LOS SERVICIOS.ACEPTAMOS PROPIEDAD COMO PARTE DEL PAGO
qoatgkgzqx|Tarragona| Tarragona Capital|80|3|1|Vivienda|Piso|Sell|136000.0|venta piso   parking se puede negociar los mueblesPiso, semireformado,calefacción aire acondicionado,parquet.. primer piso, con balcón y galeria. Zona tranquila. Incluido el parkingTambién está alquiler con opción a compra
qoatgkgzqx|Tarragona| Tarragona Capital|80|3|1|Vivienda|Piso|Rent|600.0|venta piso   parking se puede negociar los mueblesPiso, semireformado,calefacción aire acondicionado,parquet.. primer piso, con balcón y galeria. Zona tranquila. Incluido el parkingTambién está alquiler con opción a compra
veyrrpsdyg|Barcelona| Barcelona Capital|60|2|1|Vivienda|Loft|Sell|99000.0|Local por reformar con cédula de habitabilidad en venta. Salón-comedor y dos dormitorios exteriores. Posibilidad de elegir distribución, materiales, ventanas, electrodomésticos, acabados, etc. Precio sin reformar, 99.000 €. ¡Precio negociable! Ubicación privilegiada, al pie del Tibidabo en zona super-tranquila, sin ruidos ni contaminación ambiental. Preciosas vistas a la zona forestal de Collserola. Parking exterior para los vecinos.
hqbfpxkomn|Girona|Riells i Viabrea|117|2|2|Vivienda|Casa-Chalet|Sell|157000.0|Casa en Riells i Viabrea, distribución:Planta baja: salón comedor, cocina, baño y habitación doble.1ª planta: salón comedor, cocina, baño y habitación doble.Suelos de gres, calefacción y aa, parcela de 600m², terraza, carpintería exterior aluminio climalit, preciosas vistas. SIN MUEBLES.
kpwvbvksgn|Tarragona|Querol|1389|9|6|Vivienda|Finca rústica|Sell|1900000.0|Magnífica finca rústica con muchas posibilidades de explotación, como restauración y alojamiento rural, hípica, actividades en la natura, etc. Tiene una extensión de 61,5 ha., 14 de las cuales son de cultivo, una pequeña parte regadío y la resta bosque.Situada en Valldossera, municipio de Querol, provincia de Tarragona a 85km de Barcelona (1:30h en coche), y a 70km del aeropuerto del Prat del Llobregat.Tiene dos casas, salones para banquetes, luz, calefacción, agua propia de pozo y concesión de agua del torrente de Valldossera, balsa de agua, cuadros...La masía principal consta de cuatro plantas. La planta semisotanoi que era un antiguo molino harinero con dos dependencias. Las tres plantas restantes son de aproximadamente 100 m2. por planta. La planta baja y la primera planta son vivienda, la segunda corresponde a las buhardillas. En la primera planta hay entrada, sala recibidor y sala de estar con chimena-hogar de piedra y horno antiguo, piedra vista en las paredes de esta dependencia; cocina con chimenea-hogar de piedra; comedor; despensa y baño con ducha. En la segunda planta se halla una sala de estar, 5 dormitorios (ventanas exteriores) y 2 baños. La casa de masovers consta de dos plantas de aproximadamente 60 m2. en la planta baja donde hay la sala de estar con chimena-hogar y cocina comedor. La primera planta de 85 m2. aproximadamente, consta de sala de estar, cuatro dormitorios, uno de los cuales es tipos suite, con baño con ducha dentro de la cámara (ventanas exteriores) y otro baño con ducha de uso general. Las dos casas están rehabilitadas y completamente habitables. Las fachadas son de piedra, tienen calefacción de gas-oil luz y agua de pozo que alimenta la finca. Las ventanas son de madera por dentro y de aluminio por fuera con doble vidrio. Techos con vigas de madera mayoritariamente.Salones: dos dependencias, una en planta baja, de aproximadamente 100 m2. con chimenea-hogar y aire acondicionado y una otro en planta superior, de aproximadamente
vxwpfoedcq|Girona|Lloret de Mar|120|3|2|Vivienda|Casa-Chalet|Sell|250000.0|Bonita casa de 120m,con piscina privada y barbacoa.3 dormitorios,1 aseo,1baño completo con ducha y bañera hidromasaje. chimenea cerrada, parquing privado para un coche. Calefacción de gasoil. Terreno 460mt. Una vivienda por terminar a pie de piscina de 70 mt.
nogkzxlyzz|Lleida| Lleida Capital|68|2|1|Vivienda|Piso|Sell|56000.0|Vivienda de 2 habitaciónes. Cuenta con uan superfície de 68m2 distribuidos en 2 habitaciones grandes, salón, baño completo y cocina office independiente con galeria.Dispone de calefacción individual a gas, cocina totalmente equipada con electrodomésticos y muebles.Piso totalmente amueblado para entrar a vivir.Situado en un barrio tranquilo cerca de campo de fútbol, piscinas, colegio, comercios.
dggkimsrvs|Barcelona|Cànoves I Samalús|420|5|4|Vivienda|Finca rústica|Sell|0.0|La finca consta de 3, 3 Hectáreas con casa construida de 420 m2, 6 dormitorio doble, uno de ellos suite, todos con armarios empotrados, 3 baños y 1 aseo ,comedor salón, cocina equipada con muebles de roble ,lavadero, bodega, planta estudio con terraza solárium, 4 porches ,3 garajes, barbacoa, 2 piscinas exterior y interior, una cubierta climatizada, 12 placas solares con acumulador de agua ,2 pozos de agua potable , 3 aljibes de 80.000 litros cada uno ,pista tenis, medidas reglamentarias, caballerizas con picadero, fuente de piedra volcánica, campos de olivos y campo frutales, con riego automático, 2 entrada a la finca totalmente vallada con valla vegetal. La casa tiene calefacción radiante a gasoil, alarma de seguridad, video portero, pararrayo, telefonía, agua y t, persianas eléctricas con programador, escalera de mármol granito, el suelo es de terrazo, los caminos interiores de la finca están asfaltados, con arboles, a cinco minutos de pueblo, de la estacion Renfe, del colegio, institutos y supermercados, unas impresionantes vistas a la montaña. Posibilidades de hípica de caballo, restaurante, casa de colonia, etc.
dyjkggrvgn|Lleida|Espot|75|2|2|Vivienda|Apartamento|Sell|200000.0|Apartamento en plena montaña con jardín a pie de pistas de Super Espot estación de esqui. Totalmente amueblado y reformado de primera calidad. En una zona encantadora ideal para familia o pareja. A lado del parque nacional de Aigües Tortes y estany de Sant Maurici a 20 minutos de Baqueira Beret.   ¡El precio es negociable!
fertexhyyr|Barcelona|Vilanova i la Geltrú|90|4|2|Vivienda|Piso|Sell|235000.0|Piso de 4 habitaciones, amplio comedor, 2 aseos,ascensor, a 5 minutos del centro y de la estación de renfe.
xzhxjpykae|Lleida|Sort|110|3|1|Vivienda|Dúplex|Sell|150000.0|Atico duplex abuhardillado, techos madera, suelos gres, todos los equipamientos muy cerca, CAP, Supermercado, polideportivo con piscina, cine, Mossos Esquadra, restaurante, trastero, posibilidad de construir otra habitación.Precio negociable
argzszppgb|Barcelona|Sitges|260|4|3|Vivienda|Casa-Chalet|Sell|1400000.0|SH.- En la zona residencial de Vallpineda, encontramos esta acogedora vivienda con un terreno de 990m2.  Cuenta con 260m2 construidos, con dos porches de 28m2 cada uno. Es muy luminosa, con vistas al mar, jardín muy cuidado con piscina, zona de barbacoa y pérgola . Baños y cocina han sido rehabilitados. Tiene dos salones, cuatro dormitorios y tres baños. Cocina  de 18m2 más lavadero. Suelo de gres, calefacción de gas y ventanas de aluminio. Las habitaciones son dobles y con armarios. Garaje para un coche. Se halla  al lado de bus, colegio Inglés, tenis y piscina. Vigilancia de 24 horas,  Club Social de Vallpineda con tenis, piscina, gimnasio y restaurant. Muy buen estado y  grandes vistas al mar Nuria Mir  sitgeshouses
zohqtezhyy|Lleida|Ribera d'Urgellet|980000|0|0|Vivienda|Finca rústica|Sell|137500.0|Finca rústica en venta, de 98 Ha de bosque para explotacion, sin edificaciones. Buenos accesos desde carretera C14 por el Pla de St Tirs, mediante camino hasta la finca.
taxxpdfmoz|Girona|Calonge|300|5|4|Vivienda|Casa-Chalet|Sell|550000.0|situado en buena zona de Vizcondado de Cabanyes con vista al mar de san Antoni de Calonge y Palamos , la 1era casa esta compuesta de cocina equipada , salon con chimenea, comedor ,1 suite, 2 habitaciones dobles ,1habitacion individual ,1 cuato de baño con bañera , terraza al rededor de la casa y delante con vista al mar y barbacoa.La 2da casa esta compuesta de cocina americana equipada,salon comedor con chimenea, 2 habitaciones dobles y 1 individual todas con armarios empotrados, 1 cuarto de baño con bañera, barbacoa y terraza con vista al mar. La 3era se compone de cocina equipada, salon comedor con chimenea ,1 baño con ducha, 1 lavabo, 2 habitaciones dobles, terraza cubierta y cerrada con aluminio, y terraza con barbacoa.Tiene aparcamientos para 3 o 4 coches. También se alquila para temporada de verano. Pozo con agua. Precio a debatir. Tambien alquilo por temporada : junio ,julio, agosto ,septiembre Preguntar por Ismael
uydokwesdw|Tarragona|Roda de Barà|285|5|3|Vivienda|Casa-Chalet|Sell|400000.0|chalet indibidual con vistas al mar y montaña con piscina particular de 10x5 mtr y terreno para hacer otra casa da ha dos calles consta de tres plantas distribuidas plata baja garage salon aseo labadero y mas plata 1ª tres habitaciones cuarto de baño comedor salon cocina comedor planta alta dormitorio con cuarto de baño y bestidor y un despacho solario y dos terrazas una en plana 1ª y otra en planta baja barbacoa con terraza y garage trastero con terraza
qxskrstntl|Lleida|El Pont de Suert|150|2|3|Vivienda|Casa-Chalet|Sell|115000.0|Casa situada entre la Vall de boí y el Pont de Suert.al lado parque nacional de AIGÜES TORTES.A 15 minutos de  BOÍ TAÜLL Pueblo :IRAN situao en en corazón de la montaña a  metros de altitud,zona muy tranquila rodeada de naturaleza y rios.con una situación de la finca inmejorable para aprovechamiento de todas las horas del sol.La casa esta compuesta ,por un patio o parcela de unos 55 m2 ,y una casa de obra nueva de tres plantas .Cada planta con 30m2 .En la primera planta una zona totalmente abierta ,compuesta por cocina y comedor .entrando en la escalera un pequeño aseo .Segunda planta ,compuesta por una habitación doble y baño con bañera.Tercera planta ,habitación con aseo de tres piezas y un vestidor .la finca además ,consta de otra estancia de unos 50m2  con un patio de 30 m2 aprox.con posibilidad de contruir 3 plantas con lo que dispondria de 150m2 mas .Ideal para casa RURAL.disponemos de un vídeo para que podáis hacer una vista virtual.
qxskrstntl|Lleida|El Pont de Suert|150|2|3|Vivienda|Casa-Chalet|Rent|750.0|Casa situada entre la Vall de boí y el Pont de Suert.al lado parque nacional de AIGÜES TORTES.A 15 minutos de  BOÍ TAÜLL Pueblo :IRAN situao en en corazón de la montaña a  metros de altitud,zona muy tranquila rodeada de naturaleza y rios.con una situación de la finca inmejorable para aprovechamiento de todas las horas del sol.La casa esta compuesta ,por un patio o parcela de unos 55 m2 ,y una casa de obra nueva de tres plantas .Cada planta con 30m2 .En la primera planta una zona totalmente abierta ,compuesta por cocina y comedor .entrando en la escalera un pequeño aseo .Segunda planta ,compuesta por una habitación doble y baño con bañera.Tercera planta ,habitación con aseo de tres piezas y un vestidor .la finca además ,consta de otra estancia de unos 50m2  con un patio de 30 m2 aprox.con posibilidad de contruir 3 plantas con lo que dispondria de 150m2 mas .Ideal para casa RURAL.disponemos de un vídeo para que podáis hacer una vista virtual.
qxskrstntl|Lleida|El Pont de Suert|150|2|3|Vivienda|Casa-Chalet|Added in Olap|400.0|Casa situada entre la Vall de boí y el Pont de Suert.al lado parque nacional de AIGÜES TORTES.A 15 minutos de  BOÍ TAÜLL Pueblo :IRAN situao en en corazón de la montaña a  metros de altitud,zona muy tranquila rodeada de naturaleza y rios.con una situación de la finca inmejorable para aprovechamiento de todas las horas del sol.La casa esta compuesta ,por un patio o parcela de unos 55 m2 ,y una casa de obra nueva de tres plantas .Cada planta con 30m2 .En la primera planta una zona totalmente abierta ,compuesta por cocina y comedor .entrando en la escalera un pequeño aseo .Segunda planta ,compuesta por una habitación doble y baño con bañera.Tercera planta ,habitación con aseo de tres piezas y un vestidor .la finca además ,consta de otra estancia de unos 50m2  con un patio de 30 m2 aprox.con posibilidad de contruir 3 plantas con lo que dispondria de 150m2 mas .Ideal para casa RURAL.disponemos de un vídeo para que podáis hacer una vista virtual.
tajxcvrobp|Girona|Castell-Platja d'Aro|114|3|2|Vivienda|Piso|Sell|280000.0|Piso céntrico (Avinguda s&apos;Agaró 62) de 98m2 totalmente reformado y 16m2 de balcón. Comedor-sala de estar muy amplio y 3 habitaciones dobles que dan a la calle, una de ellas suite. Amueblado con armarios empotrados y con electrodomésticos. A 3 minutos de la playa.
nroytwhqam|Girona|Albons|120|3|2|Vivienda|Piso|Sell|109000.0|Casa para reformar, Tengo  los planos hechos, se pueden modificar si no es de su gusto.
ieflgvwclu|Barcelona|La Torre de Claramunt|320|5|3|Vivienda|Casa-Chalet|Sell|280000.0|CASA EN MONTAÑA CON PRECIOSAS VISTAS Y MUY SOLEADA.  PRECIO ACTUAL 280.000€ .......BAJA 85.000€ Del precio anterior!! POSIBILIDAD SUBROGACIÓN A HIPOTECA! A menos de 1h de BCN y 10 de Capellades! Inmueble de 5 habitaciones principales (una con vestidor a medida), estudio, tres terrazas (una de ellas cerrada con cristal y aluminio), cocina grande con barra americana, habitación lavadero, cuarto de calderas, zona trabajo(baño   3 habitaciones), TODO EN PERFECTO ESTADO, CONSTRUCCIÓN DE ALTA CALIDAD.CALEFACCIÓN RADIAL, PORTICONES DE ALUMINIO, MOSQUITERAS en TODA LA CASA Y VENTANAS ABATIBLES CON MARCOS DE ALUMINIO. PUERTAS ENTRADA CON HIERRO FORJADO igual que BALCONES. FUEGO A TIERRA. BARBACOA DE OBRA. Jardín a tres niveles de  m2 con zonas pavimentadas y cesped, olivos, huerto, arboles tropicales...   2 parkings en el interior de la finca   casetas de jardín en estos niveles (2o nivel- caseta de obra y 3r nivel 3 -dos prefabricadas y una de hierro forjado) . DESCRIPCIÓN: Esta casa de distribuye en  3 plantas. En el PRIMER NIVEL, se encuentra la entrada con dos puertas principales ( una grande para el vehículo automática y otra manual peatonal), entrada pavimentada con jardinería preciosa, porche y ENTRADA PRINCIPAL  al Domicilio: ACCESO A 2ª PLANTA:  5 habitaciones grandes  (una de ellas con vestidor a medida),  baño grande (con puerta corredera de cristal y bañera, 2 picas, WC y bidé). Des de esta segunda planta se accede a la TERCERA PLANTA, donde se encuentra un estudio muy grande y luminoso (mucha luz natural)  con armarios empotrados-vestidor, ojos de buey, ventanal grande de acceso a terraza con vistas, enracholada y cerrada con aluminio cristal y cortinas.Trastero. Techo de madera.La PLANTA BAJA donde se ubica la COCINA con barra americana y armarios de madera varios, esquineras, con despensa, fuego a tierra , paredes con azulejos cerámicos. SALIDA  al jardín desde la cocina, pasando por terraza con porche   toldo. ((PRECIO ANTERIOR 365.000€))! QUE NO SE TE ES
ieflgvwclu|Barcelona|La Torre de Claramunt|320|5|3|Vivienda|Casa-Chalet|Rent|1100.0|CASA EN MONTAÑA CON PRECIOSAS VISTAS Y MUY SOLEADA.  PRECIO ACTUAL 280.000€ .......BAJA 85.000€ Del precio anterior!! POSIBILIDAD SUBROGACIÓN A HIPOTECA! A menos de 1h de BCN y 10 de Capellades! Inmueble de 5 habitaciones principales (una con vestidor a medida), estudio, tres terrazas (una de ellas cerrada con cristal y aluminio), cocina grande con barra americana, habitación lavadero, cuarto de calderas, zona trabajo(baño   3 habitaciones), TODO EN PERFECTO ESTADO, CONSTRUCCIÓN DE ALTA CALIDAD.CALEFACCIÓN RADIAL, PORTICONES DE ALUMINIO, MOSQUITERAS en TODA LA CASA Y VENTANAS ABATIBLES CON MARCOS DE ALUMINIO. PUERTAS ENTRADA CON HIERRO FORJADO igual que BALCONES. FUEGO A TIERRA. BARBACOA DE OBRA. Jardín a tres niveles de  m2 con zonas pavimentadas y cesped, olivos, huerto, arboles tropicales...   2 parkings en el interior de la finca   casetas de jardín en estos niveles (2o nivel- caseta de obra y 3r nivel 3 -dos prefabricadas y una de hierro forjado) . DESCRIPCIÓN: Esta casa de distribuye en  3 plantas. En el PRIMER NIVEL, se encuentra la entrada con dos puertas principales ( una grande para el vehículo automática y otra manual peatonal), entrada pavimentada con jardinería preciosa, porche y ENTRADA PRINCIPAL  al Domicilio: ACCESO A 2ª PLANTA:  5 habitaciones grandes  (una de ellas con vestidor a medida),  baño grande (con puerta corredera de cristal y bañera, 2 picas, WC y bidé). Des de esta segunda planta se accede a la TERCERA PLANTA, donde se encuentra un estudio muy grande y luminoso (mucha luz natural)  con armarios empotrados-vestidor, ojos de buey, ventanal grande de acceso a terraza con vistas, enracholada y cerrada con aluminio cristal y cortinas.Trastero. Techo de madera.La PLANTA BAJA donde se ubica la COCINA con barra americana y armarios de madera varios, esquineras, con despensa, fuego a tierra , paredes con azulejos cerámicos. SALIDA  al jardín desde la cocina, pasando por terraza con porche   toldo. ((PRECIO ANTERIOR 365.000€))! QUE NO SE TE ES
znicapzhgp|Barcelona|Teià|325|5|3|Vivienda|Casa adosada|Sell|485000.0|En venta en Teià.Precioso chalet estilo Ibicenco con fantasticas vistas al mar y montaña. Consta de 5 dormitorios 4 de ellos dobles dos   tipo suit, una en planta,los 3 baños son completos, gran salón comedor a tres niveles, bonito estudio, abierto al salon y comedodr, gran ccocina con despensa y patio que conecta a la calle particular, desde donde se puede  acceder directamente a la cocina. Sin entrar por la puerta principalesplendido parking para tres coches, moto bicicletas, más gran habitación polivalente y gran bodega, jardin privado y barbacoa con acceso al comedor, Zona comunitaria ideal para niños y magnifica piscina. Cerca de colegios, polideportivo, gimnasio, Tenis Barcelona-Teià y Pitch and Putt Barcelona Teià, 18 agujeros, bancos, cajas, comercios y grandes superficies comerciales.
dgtqxjuzkr|Tarragona|La Pobla de Montornès  |85|3|1|Vivienda|Casa-Chalet|Sell|170000.0|Chalet en 1 planta, con 3 habitaciones. Bajos habitables. Amueblado, listo para entrar a vivir.  REF. 116,  CHALET INDIVIDUAL.  URB EL CASTELL . LA POBLA DE MONTORNÉS. (TARRAGONA)  CHALET DE 85 M2, EN UNA SOLA PLANTA Y MUY SOLEADO.  Terreno de 515 m2, vivienda de 85 m2, en 1 planta.  Porche en la entrada de la casa, comedor con chimenea (salida a la terraza), cocina equipada, 1 baño completo y 3 habitaciones.  Terraza (vistas a la montaña)  Bajos de 40 m2 en la vivienda, actualmente como garaje, (posibilidad de ser habitables)  Jardín (huerto y árboles frutales). Posibilidad de hacer piscina. Barbacoa.  EXTRAS:  Vivienda amueblada, muy luminosa. Suelo de gres y rejas.  Zona residencial tranquila, habitada todo el año, con parques infantiles zonas ajardinadas, cerca del pueblo con todos los servicios, ( farmacia, tiendas consultorio médico, colegios, guardería, etc ) Cerca parada del bus.   Playa y estación de tren a 6 km.   A tán sólo 1 hora de Barcelona y 15 minutos de Tarragona ciudad.  !!! TENEMOS LA CASA QUE BUSCA ¡¡¡  SI TIENEN QUE COMPRAR VENGAN A VISITARNOS TENEMOS GRANDES OPORTUNIDADES PARA OFRECERLES.  ESTAMOS ENTRE MAR Y MONTAÑA.  ¡¡¡ PRECIO  € !!!  ¡¡¡ HA BAJADO A  € !!!  ¡¡¡ HS BAJADO A   €!!!!  Para consultar otras promociones, visite nuestra página Web immocastell
