idproperty|province|municipality|surface|rooms|baths|property_type|property_subtype|transacion_type|price|description
hoohutjmwi|Tarragona|El Vendrell|230|5|3|Vivienda|Casa-Chalet|Sell|1200000.0|La casa consta de 2  viviendas. La primera es un dúplex que se encuentra en la planta baja y el primer piso. 150 m2.  Salón comedor con vistas al mar, amplia cocina office, 4 habitaciones, 2 baños,  calefacción. Salida directa al paseo y la playa.La segunda se encuentra en la segunda planta, 80 m2, salón comedor con vistas al mar, cocina, 3 habitaciones, 1 baño, aire acondicionado.Dispone de un jardín de 212 m2 y un garaje.
ftipjxmtkl|Barcelona|Sant Just Desvern|262|4|3|Vivienda|Casa-Chalet|Sell|890000.0|Unifamiliar con piscina en perfecto estado, Sant Just Desvern  Bonita casa en Sant Just en la zona residencial la Miranda. Zona ajardinada con piscina, solárium, dos comedores exteriores  y rincón de barbacoa. La propiedad tiene dos plantas principales, un sótano acondicionado,  y amplio garaje. En la planta principal, un salón con chimenea y comedor con salida a terraza, un dormitorio individual, y un baño con ducha. Bonita cocina office con salida exterior y desde aquí, acceso a la planta inferior o sótano.  En la primera planta, una suite principal con vestidor y baño, una habitación de maquinaria y utensilios varios, dos dormitorios y un baño a En la planta sótano, amplio estudio polivalente de unos 25 m2 con acceso a garaje con capacidad para dos vehículos, más motos, etc. Vivienda ideal para familias con hijos. Se encuentra  en perfecto estado.
idifmlbbyc|Girona|L'Escala|80|3|2|Vivienda|Casa adosada|Sell|222000.0|Abstenerse Agencias
rvyszpyccc|Girona|Sant Feliu de Guíxols|112|3|2|Vivienda|Piso|Sell|285000.0|Apartamento con bonitas vistas a mar, con vista panorámica a S´Agaró y Sant Feliu de Guíxols. Este piso se encuentra en un excelente estado, y se distribuye en recibidor, cocina-office abierta con salida a salón-comedor y a amplia terraza con vistas a mar. Por otro lado, encontramos 3 habitaciones, y dos baños (uno de ellos en suite). En el precio se incluye:  - Parking privado. - Zona comunitaria con vistas a mar - Dos piscinas comunitarias  Apartamento muy soleado durante todo el día. Próximo a las localidades de S´Agaró y Sant Feliu de Guíxols.
xvwjvxjxuo|Barcelona|Sant Antoni de Vilamajor|600|14|5|Vivienda|Finca rústica|Sell|1200000.0|Ref. V Finca en venta de 25.000 m2. 10.000 m2 con casa de 600 m2 y jardín. 14 habitaciones, 5 baños, 1 aseo, cocina office, comedor, 3 salones, despacho, 4 terrazas, bodega, trasteros y 6 plazas de parking cubiertas. Suelos de madera y gres. Calefacción. Jardines con piscina adultos y niños, vestuarios, aseo, frontón, barbacoa, lago, zona infantil y pozo. 10.000 m2 de bosque. 5.000 m2 de cultivo y granja de 70 m2 con invernadero y huerto. Excelente comunicación. Edificabilidad 5.400 m2. Esquina con C Pau Casals.  Zona: Sant Antoni de Vilamajor
qfbfgxlvny|Girona|Palafrugell|64|2|1|Vivienda|Piso|Sell|140000.0|PISO NUEVO EXTERIOR, MUY LUMINOSO, EN EL BAIX EMPORDÀ, (PALAFRUGELL) A 10quot; DE LAS MEJORES PLAYAS DE LA COSTA BRAVA, CALELLA, LLAFRANC, TAMARIU, BEGUR...CONSTA DE DOS HABITACIONES, COCINA COMPLETAMENTE EQUIPADA, SALON COMEDOR, UN BAÑO COMPLETO, PLAZA DE PARKING, TRASTERO Y PISCINA COMUNITARIA
qfbfgxlvny|Girona|Palafrugell|64|2|1|Vivienda|Piso|Rent|0.0|PISO NUEVO EXTERIOR, MUY LUMINOSO, EN EL BAIX EMPORDÀ, (PALAFRUGELL) A 10quot; DE LAS MEJORES PLAYAS DE LA COSTA BRAVA, CALELLA, LLAFRANC, TAMARIU, BEGUR...CONSTA DE DOS HABITACIONES, COCINA COMPLETAMENTE EQUIPADA, SALON COMEDOR, UN BAÑO COMPLETO, PLAZA DE PARKING, TRASTERO Y PISCINA COMUNITARIA
qfbfgxlvny|Girona|Palafrugell|64|2|1|Vivienda|Piso|Added in Olap|500.0|PISO NUEVO EXTERIOR, MUY LUMINOSO, EN EL BAIX EMPORDÀ, (PALAFRUGELL) A 10quot; DE LAS MEJORES PLAYAS DE LA COSTA BRAVA, CALELLA, LLAFRANC, TAMARIU, BEGUR...CONSTA DE DOS HABITACIONES, COCINA COMPLETAMENTE EQUIPADA, SALON COMEDOR, UN BAÑO COMPLETO, PLAZA DE PARKING, TRASTERO Y PISCINA COMUNITARIA
izawoyaesu|Lleida|Artesa de Lleida|210|4|2|Vivienda|Casa adosada|Sell|195000.0|CASA 70M2 POR PLANTA,+ 70M2 DE ALMACÉN, TERRAZA A PIE DE COMEDOR, 2 BOMBAS DE FRIÓCALIENTE. DISPONE DE PLAQUES SOLAR PARA CALENTAR  EL AGUA.PARA VISITAS LLAMAR O ENVIAR WHATS APP AL 6.8.3.4.7.7.9.0.8.
whcfynutke|Tarragona| Tarragona Capital|170|4|2|Vivienda|Casa-Chalet|Sell|230000.0|Casa de una sola planta en San Salvador. Tiene unos 170m2 construidos sobre una parcela de 620m2. Reformada hace unos 5 años, 4 dormitorios, salón comedor de 60m2 con 3 ambientes. cocina de diseño Santos, dos baños. Calefacción. Garaje. Barbacoa.
